Verb_from_#e      	PoS_from_#e       	Rukai_gloss                 	Eng_gloss
go                	VB,VBP            	mu-a-sakene                 	go-RLS-respect
go                	VB,VBP            	mu-a-tail-ane               	go-REAL-long-NMLZ
go                	VB,VBP            	mu-a<lra>lra                	go-<RED>untie
go                	VB,VBP            	mu-a==                      	go-RLS
go                	VB,VBP            	mu-a==,\                    	go-RLS
go                	VB,VBP            	mu-a=lini                   	go-RLS=3P.BG
go                	VB,VBP            	mu-adreke                   	go-stumble.over
go                	VB,VBP            	mu-adreke                   	go-fall
go                	VB,VBP            	mu-adreke                   	go-fall.down
go                	VB,VBP            	mu-adringi                  	go-inside
go                	VB,VBP            	mu-alra                     	go-untie
go                	VB,VBP            	mu-alra-ane                 	go-take-NMLZ
go                	VB,VBP            	mu-babiabila                	go-river.side
go                	VB,VBP            	mu-belenge                  	go-up
go                	VB,VBP            	mu-belenge                  	go-above
go                	VB,VBP            	mu-belenge,\                	go-top
go                	VB,VBP            	mu-bere.\                   	go-escape
go                	VB,VBP            	mu-biabila.\                	go-bank
go                	VB,VBP            	mu-biabila=nga              	go-bank-PFV
go                	VB,VBP            	mu-bungubungu               	go-collide
go                	VB,VBP            	mu-cilri                    	go-throw
go                	VB,VBP            	mu-cu-cugu=nga              	go-RED-incident=PFV
go                	VB,VBP            	mu-drakerale                	go-river
go                	VB,VBP            	mu-drakerane                	go-river
go                	VB,VBP            	mu-gugu=nga                 	go-spread=PFV
go                	VB,VBP            	mu-inu                      	go-where
go                	VB,VBP            	mu-ka-mea-meale             	go-KA-RED-dry
go                	VB,VBP            	mu-ka-mea-meale-ane         	go-KA-RED-dry-NMLZ
go                	VB,VBP            	mu-kameameale               	go-KA-RED-dry
go                	VB,VBP            	mu-kiukai                   	go-church
go                	VB,VBP            	mu-laimay,\                 	go-cloth
go                	VB,VBP            	mu-latadre                  	go-outside
go                	VB,VBP            	mu-latradre                 	go-outside
go                	VB,VBP            	mu-lebe                     	go-below
go                	VB,VBP            	mu-lebe                     	go-down
go                	VB,VBP            	mu-lebe=nga                 	go-down=PFV
go                	VB,VBP            	mu-lisi                     	go-be.bad
go                	VB,VBP            	mu-lrapace                  	go-gorgeous
go                	VB,VBP            	mu-lregelrege               	go-mountain
go                	VB,VBP            	mu-lregelrege,_             	go-mountain
go                	VB,VBP            	mu-lri-lri-lrikili          	go-RED-RED-bicycle
go                	VB,VBP            	mu-ruru                     	go-fall
go                	VB,VBP            	mu-su-nagane                	go-call-name
go                	VB,VBP            	mu-talrubun-ane             	go-hat-NMLZ
go                	VB,VBP            	mu-talrubunu                	go-hat
go                	VB,VBP            	mu-taluvayvay               	go-come.out
go                	VB,VBP            	mu-tavanane                 	go-inside.of.the.house
go                	VB,VBP            	mu-tavanane.                	go-home
go                	VB,VBP            	mu-valru                    	go-river
go                	VB,VBP            	mu==                        	go
go                	VB,VBP            	mua                         	go
go                	VB,VBP            	mua-ane                     	go-NMLZ
go                	VB,VBP            	mua-cugu                    	go-incident
go                	VB,VBP            	mua-day-dayli=nga           	go-RED-far=PFV
go                	VB,VBP            	mua-dringa-dringay          	go-RED-good
go                	VB,VBP            	mua-dringay                 	go-inside
go                	VB,VBP            	mua-dringi                  	go-inside
go                	VB,VBP            	mua-ini                     	go=3S.BG
go                	VB,VBP            	mua-inu                     	go-where
go                	VB,VBP            	mua-kipaelre                	go-join
go                	VB,VBP            	mua==                       	go-RLS
go                	VB,VBP            	mua=nay                     	go=1P(EX).BN
go                	VB,VBP            	mua=nga                     	go=PFV
go                	VB,VBP            	mudrakerane                 	go-river
go                	VB,VBP            	na-muadreke                 	PFV-go-fall
go                	VB,VBP            	nau-mu-a                    	want-go-RLS
go                	VB,VBP            	naw=tara-mua                	1S.BN=NEC.MOD-go
go                	VB,VBP            	ngu-balriu                  	go-home
go                	VB,VBP            	ngu-cungu-cungu             	go-RED-bump
go                	VB,VBP            	ngu-pa-pa-palange=su        	go-RED-RED-court=2S.BN
go                	VB,VBP            	pa                          	CAUS-go
go                	VB,VBP            	pa-u-cilr=ini               	CAUS-go-down=3S.BG
go                	VB,VBP            	pa-u-cilri                  	CAUS-go-down
go                	VB,VBP            	qu                          	go
go                	VB,VBP            	sa-mu-a                     	when-go-RLS
go                	VB,VBP            	sa-mu-a                     	when-go
go                	VB,VBP            	sa-mu-lebe                  	when-go-down
go                	VB,VBP            	ta-ma-mua-mua-ane           	LOC-STAT.RLS-RED-go-NMLZ
go                	VB,VBP            	ta-ma-u-sake-sakene-ane     	LOC-RECP-go-RED-respcet-NMLZ
go                	VB,VBP            	ta-u-lisi-ane               	LOC-go-bad-NMLZ
go                	VB,VBP            	ta-u-lisi-si-ane            	LOC-go-bad-RED-NMLZ
go                	VB,VBP            	ta-u-ma-dre-dreele-ane      	LOC-go-RECP-RED-see-NMLZ
go                	VB,VBP            	u-adreke                    	go-stumble.over
go                	VB,VBP            	u-balriu                    	go-home
go                	VB,VBP            	u-balriu=ta                 	go-home=1P(IN).BN
go                	VB,VBP            	u-belenge                   	go-up
go                	VB,VBP            	u-belenge=nga               	go-up=PFV
go                	VB,VBP            	u-cakena                    	go-ground
go                	VB,VBP            	u-cilri                     	go-throw
go                	VB,VBP            	u-dalran                    	go-field
go                	VB,VBP            	u-ka-lavalava               	go-STAT.IRR-wait
go                	VB,VBP            	u-kiukai                    	go-church
go                	VB,VBP            	u-lebe                      	go-down
go                	VB,VBP            	u-lebe=nga                  	go-down=PFV
go                	VB,VBP            	u-pa-palange                	go-RED-court
go                	VB,VBP            	u-pungupungu                	go-bump.into
go                	VB,VBP            	ua                          	go
go                	VB,VBP            	w-a-mua                     	ACT-RLS-go
go                	VB,VBP            	wa-kela                     	RLS-go
go                	VB,VBP            	wa-mua                      	RLS-go
good              	JJ                	a-tu-sarir-ane              	NMLZ-need-good-NMLZ
good              	JJ                	ka-tathai-thariri           	STAT.IRR-RED-good
good              	JJ                	ka-thariri                  	STAT.IRR-good
good              	JJ                	ma-thariri                  	STAT.RLS-good
good              	JJ                	mu-a-dringa-dringay         	go-RLS-RED-good
good              	JJ                	mua-dringa-dringay          	go-RED-good
good              	JJ                	sarirane                    	good
goodbye           	JJ                	ai                          	goodbye
goodbye           	JJ                	ai==                        	goodbye
goodbye           	JJ                	caicini                     	goodbye
goodbye           	JJ                	kipusau                     	goodbye
goose             	JJ                	lakuka                      	goose
gorgeous          	JJ                	mu-lrapace                  	go-gorgeous
grandmother       	VB                	kayngu                      	grandmother
grandmother       	VB                	la-kayngu                   	P-grandmother
grasp             	VB,VBD            	dai-daisi                   	RED-grasp
grasp             	VB,VBD            	karasi                      	grasp
grasp             	VB,VBD            	kyaraishi                   	grasp
happy             	JJ                	ki-ra-ra-ragay.\            	KI-RED-RED-happy
happy             	JJ                	ki-raga-ragai-nga           	KI-RED-happy
happy             	JJ                	ki-ragai                    	KI-happy
happy             	JJ                	ki-ragai-nga                	KI-happy-PFV
happy             	JJ                	ki-raka-rakai               	KI-RED-happy
happy             	JJ                	ki<ra><ra>ragay=nga         	<RED>-<RED>happy=PFV
happy             	JJ                	ki<ra>ragay=nga             	<RED>happy=PFV
happy             	JJ                	ki<ra>rakay                 	<RED>happy
happy             	JJ                	ki<ra>raragay               	<RED>happy
happy             	JJ                	kia<ra>rakay                	<RED>happy
happy             	JJ                	kiragay                     	happy
happy             	JJ                	mati-lrulrupi               	very-happy
happy             	JJ                	raga-ragai                  	RED-happy
hard              	JJ                	kisamula                    	hard-working
hard              	JJ                	molamola                    	hard
harvest           	JJS               	kala-lrisi-^ane.\           	NMLZ-harvest-NMLZ
harvest           	JJS               	lrisi-si-si-ane,\           	harvest-RED-RED-NMLZ
harvest           	JJS               	tangi-elribalri-balri-tane  	when-harvest-RED-NMLZ
have              	VB,VBP            	pi-tukunui-ane              	have-jelly-NMZ
have              	VB,VBP            	you                         	have
head              	JJ                	aulru=ini                   	head=3S.BG
head              	JJ                	aulruini                    	head
headwear          	JJ                	sagniragerane,_             	headwear
headwear          	JJ                	taitharare=ini,_            	headwear=3S.BG
hear              	VBP               	ki<a>lalra                  	<RLS>hear
help              	VB,VBP            	ki-palribulru               	PASS-help
help              	VB,VBP            	lri-palribulu               	FUT-help
help              	VB,VBP            	ma-lraru-rarubu.\           	REC-RED-help
help              	VB,VBP            	mapa-lri-palripulu          	RECP-FUT-help
help              	VB,VBP            	nau-pararubu                	WOD.MOD-help
help              	VB,VBP            	pa-rarubu=iniane,_          	CAUS-help=3S.FO
help              	VB,VBP            	palalrubu=ngai              	help=PFV
help              	VB,VBP            	palra-lua-lupu,             	help-RED-help,
help              	VB,VBP            	palra<lua>lupu              	help<RED>help
help              	VB,VBP            	palralubu                   	help
help              	VB,VBP            	palralupu                   	help
help              	VB,VBP            	palribulu                   	help
help              	VB,VBP            	palribulu-ana               	help-first
help              	VB,VBP            	palribulu==                 	help
help              	VB,VBP            	paralrubu                   	help
help              	VB,VBP            	pararubu                    	help
help              	VB,VBP            	pararubu-ana                	help-first
help              	VB,VBP            	ralubu                      	help
help              	VB,VBP            	ta-pa-rarub-ane-su          	NMLZ-CAU-help-NMLZ=2SG.GEN
help              	VB,VBP            	ta-palralup-ane=ta,         	NMLZ-help-NMLZ=1P(IN).BN
help              	VB,VBP            	ta-palribulu-ane=numi       	LOC-help-NMLZ=2P.BN
help              	VB,VBP            	ta-paralubu-ane=nay         	NMLZ-help-NMLZ=1P(EX).BG
help              	VB,VBP            	ta=pararubu                 	1P(IN).BN=help
highest           	JJS               	zuigao                      	highest
hold              	VB                	ipipi                       	hold
hold              	VB                	kebere                      	hold
hold              	VB                	taku-ucenge                 	simultanously-hold
holy              	VBN               	shensheng                   	holy
hometown          	JJ                	balriu                      	hometown
hope              	VBP               	ani                         	hope
horn              	JJ                	ki                          	horn
horn              	JJ                	launge                      	horn
horn              	JJ                	laungu                      	horn
horn              	JJ                	laungu=ini                  	horn=3S.BG
horn              	JJ                	lawngu                      	horn
horn              	JJ                	sa-laungu-ane               	when-horn-NMLZ
horn              	JJ                	sa-lawngu-ane               	when-horn-NMLZ
horn              	JJ                	salaungane                  	when-horn-NMLZ
hug               	VB,VBD            	ibibi                       	hug
human             	JJ                	a-umaumase=nga              	become-human=PFV
human             	JJ                	a=naw=umaumase              	become=1S.BN=human
human             	JJ                	ki                          	RED-human
human             	JJ                	ngi-umaumase                	REFL-human
human             	JJ                	ta-ka-umaumas-ane=ini       	NMLZ-true-human-NMLZ=3S.BG
human             	JJ                	taka-umause-ane             	TAKA-human-NMLZ
human             	JJ                	umaumase                    	human
humming           	VBG               	ponpon                      	humming
hundred           	JJ,VBD            	idai                        	hundred
hunt              	VB                	a-alupu-ane.\               	NMLZ-hunt-NMLZ
hunt              	VB                	pa-alu-alupu.\              	CAUS-RED-hunt
hunt              	VB                	pana=nga.\                  	hunt=PFV
hunt              	VB                	ta-alu-alupu-ane            	LOC-RED-hunt-NMLZ
hunt              	VB                	ta-alu^pu-ane.\             	NMLZ-hunt-NMLZ
hunt              	VB                	tara-alu-alupu              	NEC.MOD-RED-hunt
hunt              	VB                	tara-alupu                  	NEC.MOD-hunt
hunt              	VB                	w-a-alu-alupu.\             	ACT-RLS-RED-hunt
hunt              	VB                	w-a-alupu                   	ACT-RLS-hunt
hurt              	VBN               	angeange                    	hurt
hurt              	VBN               	lri-ka-dula=su              	FUT-STAT.IRR-hurt=2S.BN
important         	JJ                	ani-ka-kucingalre           	why-STAT.IRR-important
important         	JJ                	ka-kucingalre               	STAT.IRR-important
important         	JJ                	ma-ku-cia-^ciangalre=nga    	STAT.RLS-state-RED-important=PFV
important         	JJ                	ma-ku-cia-cingalre=nga,\    	STAT.RLS-RED-important=PFV
important         	JJ                	ma-ku<cia>ci^ngale.\        	STAT.RLS-<RED>important
important         	JJ                	ma-ku<cia>cingalre=nga      	STAT.RLS-<RED>important=PFV
important         	JJ                	ma-ku<cia>cingalre=nga,\    	STAT.RLS-<RED>-important=PFV
important         	JJ                	ma-ku^cingalre              	STAT.RLS-important
important         	JJ                	ma-kuciacingalre            	STAT.RLS-important
important         	JJ                	ma-kucingale                	STAT.RLS-important
important         	JJ                	ma-kucingalre               	STAT.RLS-important
important         	JJ                	ma-kucingalre,\             	STAT.RLS-important
important         	JJ                	ma-kucingalre.\             	STAT.RLS-important
important         	JJ                	tu-a-kucingalre             	TU-RLS-important
important         	JJ                	tu-kucingale                	TU-important
important         	JJ                	zhongyao                    	important
incapable         	JJ                	ubangalre                   	incapable
is                	VBZ               	<L2M^shi                    	is
is                	VBZ               	shi                         	is
join              	VB,VBP            	mua-kipaelre                	go-join
keep              	VB                	lapulapu=ini                	keep=3S.BG
know              	VB,VBP            	a-thingal-ane               	NMLZ-know-NMLZ
know              	VB,VBP            	i-thingale=nga              	FUT-know=PFV
know              	VB,VBP            	ki-a-thia-thia-thingaleng== 	PASS-RLS-RED-RED-know
know              	VB,VBP            	ki-thia-thingale            	KI-RED-know
know              	VB,VBP            	ma-thinga-thingale          	STAT.RLS-RED-know
know              	VB,VBP            	pa-thingale                 	CAUS-know
know              	VB,VBP            	pa-thingale-ane             	CAUS-know-NMLZ
know              	VB,VBP            	sa-ki-thinga-thingale-ane   	when-PASS-RED-know-NMLZ
know              	VB,VBP            	sa-pa-tu-thingale-ane       	NMLZ-CAUS-TU-know-NMLZ
know              	VB,VBP            	ta-ma-sa-thingale-ane=ta    	LOC-STAT.RLS-when-know-NMLZ=1P(IN).BN
know              	VB,VBP            	thia-thia-thingale          	RED-RED-know
know              	VB,VBP            	thiathiale                  	know
know              	VB,VBP            	thinga-thingale             	RED-know
know              	VB,VBP            	thingale                    	know
know              	VB,VBP            	thingale,\                  	know
know              	VB,VBP            	thingale=nga,_              	know=PFV
know              	VB,VBP            	w-a-thinga-thingale         	ACT-RLS-RED-know
know              	VB,VBP            	w-a-thingale                	ACT-RLS-know
know              	VB,VBP            	wa-thingale                 	ACT-RLS-know
know              	VB,VBP            	wa-thingale                 	RLS-know
know              	VB,VBP            	wa-thingale=nga             	RLS-know=PFV
last              	JJ                	bili-ane=nga                	last-NMLZ=PFV
lazurite          	JJ                	pu-silu,_                   	put-lazurite
leave             	VB,VBP            	ka-tua-tuase                	STAT.IRR-RED-leave
leave             	VB,VBP            	ka-tua-tuase,\              	STAT.IRR-RED-leave
leave             	VB,VBP            	ka-tua-tuase,\              	STAT.IRR-<RED>-leave
leave             	VB,VBP            	ka-tua-tuase.\              	STAT.IRR-RED-leave
leave             	VB,VBP            	ka-tua-tuase==              	STAT.IRR-RED-leave
leave             	VB,VBP            	ka-tua-tuase=nga            	STAT.IRR-RED-leave=PFV
leave             	VB,VBP            	ka-tuase                    	IRR-leave
leave             	VB,VBP            	ka-tuase                    	STAT.IRR-leave
leave             	VB,VBP            	ka-tuase                    	STAT-leave
leave             	VB,VBP            	ka-tuase,                   	STAT.IRR-leave
leave             	VB,VBP            	ka-tuase,\                  	STAT.IRR-leave
leave             	VB,VBP            	ka-tuase,_                  	STAT.IRR-leave
leave             	VB,VBP            	ka-tuase-ana                	STAT.IRR-leave-first
leave             	VB,VBP            	ka-tuase==                  	STAT.IRR-leave
leave             	VB,VBP            	ka-tuase=aku                	STAT.IRR-leave=1S.BN
leave             	VB,VBP            	ka-tuase=nga                	STAT.IRR-leave=PFV
leave             	VB,VBP            	ka-tuase=nga=aku            	STAT.IRR-leave=PFV=1S.BN
leave             	VB,VBP            	ka-tuase=nga=nay.\          	STAT.IRR-leave=PFV=1P(EX).BG
leave             	VB,VBP            	ka-twase                    	STAT.IRR-leave
leave             	VB,VBP            	ka<tua>tuase==,_            	<RED>leave
leave             	VB,VBP            	kainganay                   	leave
leave             	VB,VBP            	katuase                     	STAT.IRR-leave
leave             	VB,VBP            	katuase                     	leave
leave             	VB,VBP            	katuase-ane                 	leave-NMLZ
leave             	VB,VBP            	lri-ka-tuase                	FUT-STAT.IRR-leave
leave             	VB,VBP            	ma-tua-tuase                	STAT.RLS-RED-leave
leave             	VB,VBP            	ma-tuase                    	STAT.RLS-leave
leave             	VB,VBP            	ma-tuase=nay                	STAT.RLS-leave=1P(EX).BN
leave             	VB,VBP            	ma-u<va>vagai._             	MA-<RED>leave
leave             	VB,VBP            	pa-ka-tuase                 	CAUS-STAT.IRR-leave
leave             	VB,VBP            	sa-ka-<tua>tuase            	when-STAT.IRR-<RED>-leave
leave             	VB,VBP            	sa-ka-tuase                 	when-STAT.IRR-leave
leave             	VB,VBP            	suru=ini                    	leave=3S.BN
leave             	VB,VBP            	taku-ka-tua-tuase           	at.the.same.time-STAT.IRR-RED-leave
leave             	VB,VBP            	taku-ka-tua-tuase           	simultaneously-STAT.IRR-RED-leave
left              	VBN,VBD           	kasane                      	left
let               	VB,VBP            	anika                       	let
let               	VB,VBP            	pangu                       	let
let               	VB,VBP            	sangu-lrialringaw-ane       	let-recall-NMLZ
light             	JJ,VB             	dringki                     	light
like              	VB,VBP            	Miya-miya                   	RED-like
like              	VB,VBP            	ka-dalame                   	STAT.IRR-like
like              	VB,VBP            	ka-dalame=aku               	STAT.IRR-like=1S.BN
like              	VB,VBP            	ka-dalame=aku               	狀態.非實現-like=1S.BN
like              	VB,VBP            	ka-talame=ini               	STAT.IRR-like=3S.BG
like              	VB,VBP            	kadalame,\                  	like
like              	VB,VBP            	kila                        	like
like              	VB,VBP            	lau-lri-ka-dalame           	POSS.MOD-FUT-STAT.IRR-like
like              	VB,VBP            	ma-dalame,_                 	STAT.RLS-like
like              	VB,VBP            	maiya                       	like
like              	VB,VBP            	mararamau                   	like
like              	VB,VBP            	maru-amani=nga              	MARU-like=PFV
like              	VB,VBP            	maru-dingki                 	like-light.bulb
like              	VB,VBP            	mati-a-da-dalame            	very-RLS-RED-like
like              	VB,VBP            	mati-da-dalame              	very-RED-like
like              	VB,VBP            	mati-da-dalame.\            	CAUS-RED-like
like              	VB,VBP            	mia                         	like
like              	VB,VBP            	mia=iniane                  	like=3S.FO
like              	VB,VBP            	mia=nga                     	like=PFV
like              	VB,VBP            	mia=su                      	like=2S.BN
like              	VB,VBP            	miakau,\                    	like
like              	VB,VBP            	miaki                       	like
like              	VB,VBP            	miakitali                   	like
like              	VB,VBP            	ngi-mia                     	NGI-like
like              	VB,VBP            	ngi-mia-lri=nga             	self-like-LRI=PFV
like              	VB,VBP            	ngi-mia-mia=nga             	REFL-RED-like=PFV
like              	VB,VBP            	ngi-miya-iya                	REFL-like-RED
like              	VB,VBP            	ngi-miya-miya               	REFL-RED-like
like              	VB,VBP            	ngi-miya=nga                	REFL-like=PFV
like              	VB,VBP            	ta-pa-ngi-mi-ane=ini        	NMLZ-CAU-self-like-NMZ=3SG.GEN
like              	VB,VBP            	tangi-mia-mia               	happen-RED-like
like              	VB,VBP            	xiang                       	like
live              	JJ,VBP            	pa-uadripi                  	CAUS-live
live              	JJ,VBP            	wa-udri-udripi,\            	RLS-RED-live
live              	JJ,VBP            	wa-udriudripi               	RLS-live
long              	JJ                	ka-elrenge                  	STAT.IRR-long
long              	JJ                	ma-elrenge                  	STAT.RLS-long
long              	JJ                	mu-a-tail-ane               	go-REAL-long-NMLZ
look              	VB,VBP            	dreele                      	look
look              	VB,VBP            	papu-le-le-lebe             	look-RED-RED-down
lose              	VB                	maka-ututhu                 	POSS.MOD-lose
loud              	JJ                	ku-adraw                    	KU-loud
loud              	JJ                	kua-adraw-ane               	KUA-loud-NMLZ
loud              	JJ                	kua-dra-adraw               	KUA-RED-loud
made              	VBN,VBD           	zuo                         	made
make              	VB,VBP            	a-tu-kang-ane.\             	NMLZ-make-fish-NMLZ
make              	VB,VBP            	paiya                       	make
make              	VB,VBP            	saki                        	make
make              	VB,VBP            	tinu                        	make
make              	VB,VBP            	tu-a-lrepeng=aku.\          	make-RLS-finish=1S.BN
make              	VB,VBP            	tu-a-lrevege                	make-RLS-millet
make              	VB,VBP            	tu-a-siasi^lange-ane,\      	make-RLS-NMLZ-engage-NMLZ
make              	VB,VBP            	tu-a-siasi^lange-ane.\      	make-RLS-NMLZ-engage-NMLZ
make              	VB,VBP            	tu-a-siasilange-ane         	make-RLS-NMLZ-engage-NMLZ
make              	VB,VBP            	tu-a-siasilange-ane,_       	make-RLS-NMLZ-engage-NMLZ
make              	VB,VBP            	tu-kange=su.\               	make-fish=2S.BG
make              	VB,VBP            	zuo                         	make
male              	JJ                	la-mala-la,\                	PL-pal-male
male              	JJ                	la-mala-la.\                	PL-pal-male
male              	JJ                	la-malala                   	PL-pal-male
male              	JJ                	la-malala,\                 	PL-male
male              	JJ                	la-malalala                 	P-male
male              	JJ                	lasu.\                      	male
male              	JJ                	malalala                    	male
male              	JJ                	nama-la-lala,_              	NAMA-PL-male
male              	JJ                	nanfang                     	male
male              	JJ                	sauvakai                    	male
male              	JJ                	sauvalay                    	male
male              	JJ                	sauvalay,\                  	male
male              	JJ                	sauvalay.\                  	male
male              	JJ                	sauvalay==,_                	male
male              	JJ                	sawvalay                    	male
male              	JJ                	sawvalay,\                  	male
male              	JJ                	sawvalay.\                  	male
male              	JJ                	sawvalay._                  	male
male              	JJ                	sawvalay==-                 	male
male              	JJ                	sawvalay=nga                	male=PFV
male              	JJ                	taka-sawvalay-ane=su,\      	NMLZ-male-NMLZ=2S.BG
male              	JJ                	tali-sauvalay-ane           	side-male-NMLZ
many              	JJ                	ka-thathatha                	STAT.IRR-many
many              	JJ                	ma-kalra                    	STAT.RLS-many
many              	JJ                	ngu-ka-langaku              	NGU-STAT.RLS-many
many              	JJ                	tapangale                   	many
marry             	VB                	karu<draru>drange           	<RED>marry
marry             	VB                	karudrange                  	marry
marry             	VB                	lu-lri-karudrange           	if-FUT-marry
marry             	VB                	ma-rudra-rudrange,_         	STAT.RLS-RED-marry
marry             	VB                	rudra-rudrange-ane          	RED-marry-NMLZ
marry             	VB                	ta-karudrarudrange-ane=ta   	NMLZ-marry-NMLZ=1P(IN).BG
marry             	VB                	yapi-karudra=nga            	want-marry=PFV
meaning           	VBG               	kakudhane                   	meaning
meaning           	VBG               	kakudhane.\                 	meaning
meaning           	VBG               	paluludane                  	meaning
meet              	VB,VBP            	ki-a-pa-dra-dresenge        	PASS-REAL-CAU-RED-meet
meet              	VB,VBP            	ki<pa><dra>dresenge         	<CAUS><RED>meet
meet              	VB,VBP            	lani-alikai                 	then-meet
meet              	VB,VBP            	lri-alikai                  	FUT-meet
meet              	VB,VBP            	ma-dra-dresenge             	STAT.RLS-RED-meet
meet              	VB,VBP            	ma-dra-dresenge             	MA-meet
meet              	VB,VBP            	ma-dra-dresenge=ini.\       	MA-RED-meet=3S.BG
meet              	VB,VBP            	ma-dradresenge              	MA-RED-meet
meet              	VB,VBP            	ma-dradresenge              	STAT.RLS-meet
meet              	VB,VBP            	ma-dre-dresenge             	STAT.RLS-RED-meet
meet              	VB,VBP            	ma-dre-dresenge             	STAV.RLS-RED-meet
millet            	VBN               	becenge                     	millet
millet            	VBN               	kala-becenge-ane            	KALA-millet-NMLZ
millet            	VBN               	ki-becenge                  	get-millet
millet            	VBN               	sa-tu-lreveke-ane           	SA-do-millet-NMLZ
millet            	VBN               	ta-ki-bece-becenge-ane.\    	LOC-get-RED-millet-NMLZ
millet            	VBN               	tu-a-lrevege                	make-RLS-millet
millet            	VBN               	tu-lreveke                  	TU-millet
mistake           	VB                	amama-ma                    	mistake-RED
modern            	JJ                	a-sa-sane-nga               	become-RED-modern=PFV
mouse             	VB                	tila                        	mouse
much              	JJ                	pingi-tha-thatha            	PINGI-RED-much
much              	JJ                	pingkalra                   	much
mysterious        	JJ                	mati-a-sa<mai>mali          	MATI-REAL-<RED>mysterious
name              	VB                	la-nagane                   	P-name
name              	VB                	la-nagane=ta                	P-name=1P(IN).BN
name              	VB                	lu-su-nagane                	when-call-name
name              	VB                	mu-su-nagane                	go-call-name
name              	VB                	nagana                      	name
name              	VB                	nagana=lini                 	name=3P.BG
name              	VB                	nagana=ta                   	name=1P(IN).BN
name              	VB                	nagana=ta                   	name=1P(IN).BG
name              	VB                	nagane                      	name
name              	VB                	nagane-ane                  	name-NMLZ
name              	VB                	nagane=                     	name=1P(EX).BN
name              	VB                	nagane=ini                  	name=3S.BG
name              	VB                	nagane=ini,\                	name=3S.BG
name              	VB                	nagane=nay                  	name=1P(EX).BN
name              	VB                	nagane=su                   	name=第二人稱單數.附著屬格
name              	VB                	nagane=ta                   	name=第一人稱複數(包含).附著屬格
name              	VB                	nagane=ta                   	name=1P(IN).BN
name              	VB                	nagane=ta                   	name=1P(IN).BG
name              	VB                	si-nagane                   	call-name
name              	VB                	su-a-naga-nagane            	call-RLS-RED-name
name              	VB                	su-naga-nagane              	call-RED-name
name              	VB                	su-nagane                   	call-name
name              	VB                	su-nagane-a                 	call-name-IMP
name              	VB                	su-nagane-ane               	call-name-NMLZ
name              	VB                	su-nagane=su,_              	call-name=2S.BN
name              	VB                	su-nagane=ta                	call-name=1P(IN).BG
name              	VB                	su-nagane=ta                	call-name=1P(IN).BN
name              	VB                	ta-su-naga-nagane=ta        	LOC-call-RED-name=1P(IN).BG
name              	VB                	tasu-naga-nagane=ta         	create-RED-name=1P(IN).BN
need              	VBP               	-mua                        	need
need              	VBP               	a-tu-sarir-ane              	NMLZ-need-good-NMLZ
need              	VBP               	madu                        	need
need              	VBP               	madu,\                      	need
need              	VBP               	madu,_                      	need
need              	VBP               	madu.                       	need
need              	VBP               	madu.\                      	need
need              	VBP               	madu._                      	need
need              	VBP               	madu==,\                    	need
need              	VBP               	madu==,_                    	need
need              	VBP               	maku                        	need
need              	VBP               	yao                         	need
new               	JJ                	ma-belana                   	STAT.RLS-new
next              	JJ                	kaka-ya.\                   	next-day
noble             	JJ                	<XtalialalaiX>              	noble
noble             	JJ                	guizu                       	noble
noble             	JJ                	talialalay                  	noble
noble             	JJ                	talialalay,\                	noble
noble             	JJ                	talialalay,_                	noble
noble             	JJ                	talialalay-ane==,_          	noble-NMLZ
noisy             	JJ                	ka-rariyau                  	STAT.IRR-noisy
notify            	VBP               	daulu                       	notify
obey              	VB                	tuamadu                     	obey
old               	JJ                	lao                         	old
old               	JJ                	sa-ka-sidrumane             	NMLZ-KA-old
only              	JJ                	<L2Mcai                     	only
only              	JJ                	laka^sane,\                 	only
only              	JJ                	lakasane.\                  	only
only              	JJ                	luka                        	only
only              	JJ                	sa==ne                      	only
only              	JJ                	sana                        	only
only              	JJ                	sanaka                      	only
open              	JJ,VB             	ni-ta-ucaebe-ane            	PFV-LOC-open-NMLZ
open              	JJ,VB             	pangu-nganga                	use-open
open              	JJ,VB             	ucaebe                      	open
other             	JJ                	dru^ma==ne.\                	other
other             	JJ                	kutumane                    	other
other             	JJ                	la-drumane                  	P-other
other             	JJ                	la-drumane                  	PL-other
outside           	JJ                	mu-latadre                  	go-outside
outside           	JJ                	mu-latradre                 	go-outside
outside           	JJ                	yalatadre                   	outside
pass              	VBP               	kia-matikai                 	pass-talk
pass              	VBP               	lriba-lribate               	RED-pass
pass              	VBP               	lribate                     	pass
pass              	VBP               	lribate,_                   	pass
pass              	VBP               	lu-ngi-lribate=nga          	when-REFL-pass=PFV
pass              	VBP               	ma-lra-lribate              	RECP-RED-pass
pass              	VBP               	ngi-lribate                 	REFL-pass
pass              	VBP               	ta-ngi-lribate-ane          	LOC-manner-pass-NMLZ
pass              	VBP               	tapangu                     	pass
pass              	VBP               	w-a-lriba-lribate           	ACT-RLS-RED-pass
pass              	VBP               	w-a-lriba-lribate,_         	ACT-RLS-RED-pass
pass              	VBP               	w-a-lripate                 	ACT-RLS-pass
pass              	VBP               	wa-lriba-lribate            	RLS-RED-pass
pear              	JJ                	nasi                        	pear
pick              	VB,VBP            	lapoto                      	pick
pick              	VB,VBP            	makasiludu=nga              	RECP-pick=PFV
pick              	VB,VBP            	polrupu-nai=ini             	pick-already=3S.BG
